SDIE v4 RAG Pipeline — TrustOffice_FF_LayerTest_RAG.dxf
Processed: 2026-06-05T12:16:27.460611+00:00
Components classified: 675
Graph: 675 nodes, 774 edges

Slabs detected: 107
Total area:      572.658 m²
Total concrete:  85.899 m³
Total shuttering:572.658 m²

  SLAB-093: 4.037 m², 150 mm (default_note), 0.606 m³
  SLAB-094: 1.374 m², 150 mm (default_note), 0.206 m³
  SLAB-095: 2.948 m², 150 mm (default_note), 0.442 m³
  SLAB-096: 2.884 m², 150 mm (default_note), 0.433 m³
  SLAB-097: 2.755 m², 150 mm (default_note), 0.413 m³
  SLAB-098: 8.004 m², 150 mm (default_note), 1.201 m³
  SLAB-099: 7.295 m², 150 mm (default_note), 1.094 m³
  SLAB-100: 0.923 m², 150 mm (default_note), 0.139 m³
  SLAB-101: 0.828 m², 150 mm (default_note), 0.124 m³
  SLAB-102: 4.974 m², 150 mm (default_note), 0.746 m³
  SLAB-103: 1.795 m², 150 mm (default_note), 0.269 m³
  SLAB-104: 1.830 m², 150 mm (default_note), 0.275 m³
  SLAB-105: 7.697 m², 150 mm (default_note), 1.155 m³
  SLAB-106: 3.062 m², 150 mm (default_note), 0.459 m³
  SLAB-107: 1.496 m², 150 mm (default_note), 0.224 m³
