SDIE v5 Structural Reasoning Pipeline — Inizio - Slab beam_Raw_Revised1.dxf
Processed: 2026-06-08T08:53:09.186988+00:00
Components classified: 8961
Graph: 8961 nodes, 12526 edges
Review queue: 8961 entities (100.0% below 75.0%)

Slabs detected: 983
Total area:      29001.013 m²
Total concrete:  6172.664 m³
Total shuttering:29001.013 m²

  SLAB-084: 195.045 m², 200 mm (local_thk_label), 39.009 m³
  SLAB-085: 29.163 m², 200 mm (local_thk_label), 5.833 m³
  SLAB-086: 172.376 m², 200 mm (local_thk_label), 34.475 m³
  SLAB-087: 296.264 m², 200 mm (local_thk_label), 59.253 m³
  SLAB-088: 233.404 m², 200 mm (local_thk_label), 46.681 m³
  SLAB-089: 94.036 m², 200 mm (local_thk_label), 18.807 m³
  SLAB-090: 41.589 m², 200 mm (local_thk_label), 8.318 m³
  SLAB-091: 14.263 m², 200 mm (local_thk_label), 2.853 m³
  SLAB-092: 131.928 m², 200 mm (local_thk_label), 26.386 m³
  SLAB-093: 35.347 m², 200 mm (local_thk_label), 7.069 m³
  SLAB-094: 37.515 m², 200 mm (local_thk_label), 7.503 m³
  SLAB-095: 78.651 m², 200 mm (local_thk_label), 15.730 m³
  SLAB-096: 15.110 m², 200 mm (local_thk_label), 3.022 m³
  SLAB-097: 14.089 m², 200 mm (local_thk_label), 2.818 m³
  SLAB-098: 12.527 m², 200 mm (local_thk_label), 2.505 m³
  SLAB-099: 12.283 m², 200 mm (local_thk_label), 2.457 m³
  SLAB-100: 16.894 m², 200 mm (local_thk_label), 3.379 m³
  SLAB-101: 46.846 m², 200 mm (local_thk_label), 9.369 m³
  SLAB-102: 62.962 m², 200 mm (local_thk_label), 12.592 m³
  SLAB-103: 77.675 m², 200 mm (local_thk_label), 15.535 m³
  SLAB-104: 45.190 m², 200 mm (local_thk_label), 9.038 m³
  SLAB-105: 17.270 m², 200 mm (local_thk_label), 3.454 m³
  SLAB-106: 42.348 m², 200 mm (local_thk_label), 8.470 m³
  SLAB-107: 24.529 m², 200 mm (local_thk_label), 4.906 m³
  SLAB-108: 32.093 m², 200 mm (local_thk_label), 6.419 m³
  SLAB-109: 7.786 m², 200 mm (local_thk_label), 1.557 m³
  SLAB-110: 0.866 m², 200 mm (local_thk_label), 0.173 m³
  SLAB-111: 22.721 m², 200 mm (local_thk_label), 4.544 m³
  SLAB-112: 31.716 m², 200 mm (local_thk_label), 6.343 m³
  SLAB-113: 93.418 m², 200 mm (local_thk_label), 18.684 m³
  SLAB-114: 631.740 m², 200 mm (local_thk_label), 126.348 m³
  SLAB-115: 3.506 m², 200 mm (local_thk_label), 0.701 m³
  SLAB-116: 3.506 m², 200 mm (local_thk_label), 0.701 m³
  SLAB-117: 13.803 m², 200 mm (local_thk_label), 2.761 m³
  SLAB-118: 2.750 m², 200 mm (local_thk_label), 0.550 m³
  SLAB-119: 16.942 m², 200 mm (local_thk_label), 3.388 m³
  SLAB-120: 3.865 m², 200 mm (local_thk_label), 0.773 m³
  SLAB-121: 0.518 m², 200 mm (local_thk_label), 0.104 m³
  SLAB-122: 0.518 m², 200 mm (local_thk_label), 0.104 m³
  SLAB-123: 12.875 m², 200 mm (local_thk_label), 2.575 m³
  SLAB-124: 9.050 m², 200 mm (local_thk_label), 1.810 m³
  SLAB-125: 4.170 m², 200 mm (local_thk_label), 0.834 m³
  SLAB-126: 0.621 m², 200 mm (local_thk_label), 0.124 m³
  SLAB-127: 25.293 m², 200 mm (local_thk_label), 5.059 m³
  SLAB-128: 12.268 m², 200 mm (local_thk_label), 2.454 m³
  SLAB-129: 32.042 m², 200 mm (local_thk_label), 6.408 m³
  SLAB-130: 13.827 m², 200 mm (local_thk_label), 2.765 m³
  SLAB-131: 3.819 m², 200 mm (local_thk_label), 0.764 m³
  SLAB-132: 41.690 m², 200 mm (local_thk_label), 8.338 m³
  SLAB-133: 12.879 m², 200 mm (local_thk_label), 2.576 m³
  SLAB-134: 31.379 m², 200 mm (local_thk_label), 6.276 m³
  SLAB-135: 96.729 m², 200 mm (local_thk_label), 19.346 m³
  SLAB-136: 0.810 m², 200 mm (local_thk_label), 0.162 m³
  SLAB-137: 14.741 m², 200 mm (local_thk_label), 2.948 m³
  SLAB-138: 0.825 m², 200 mm (local_thk_label), 0.165 m³
  SLAB-139: 23.825 m², 200 mm (local_thk_label), 4.765 m³
  SLAB-140: 16.318 m², 200 mm (local_thk_label), 3.264 m³
  SLAB-141: 14.554 m², 200 mm (local_thk_label), 2.911 m³
  SLAB-142: 8.006 m², 200 mm (local_thk_label), 1.601 m³
  SLAB-143: 11.952 m², 200 mm (local_thk_label), 2.390 m³
  SLAB-144: 33.518 m², 200 mm (local_thk_label), 6.704 m³
  SLAB-145: 50.105 m², 200 mm (local_thk_label), 10.021 m³
  SLAB-146: 21.021 m², 200 mm (local_thk_label), 4.204 m³
  SLAB-147: 0.820 m², 200 mm (local_thk_label), 0.164 m³
  SLAB-148: 225.876 m², 200 mm (local_thk_label), 45.175 m³
  SLAB-149: 0.565 m², 200 mm (local_thk_label), 0.113 m³
  SLAB-150: 223.138 m², 200 mm (local_thk_label), 44.628 m³
  SLAB-151: 2.545 m², 200 mm (local_thk_label), 0.509 m³
  SLAB-152: 52.112 m², 275 mm (local_thk_label), 14.331 m³
  SLAB-153: 43.127 m², 200 mm (local_thk_label), 8.625 m³
  SLAB-154: 10.426 m², 200 mm (local_thk_label), 2.085 m³
  SLAB-155: 397.638 m², 200 mm (local_thk_label), 79.528 m³
  SLAB-156: 0.418 m², 200 mm (local_thk_label), 0.084 m³
  SLAB-157: 379.319 m², 200 mm (local_thk_label), 75.864 m³
  SLAB-158: 18.706 m², 200 mm (local_thk_label), 3.741 m³
  SLAB-159: 27.527 m², 200 mm (local_thk_label), 5.505 m³
  SLAB-160: 32.934 m², 200 mm (local_thk_label), 6.587 m³
  SLAB-161: 7.504 m², 200 mm (local_thk_label), 1.501 m³
  SLAB-162: 38.673 m², 275 mm (local_thk_label), 10.635 m³
  SLAB-163: 14.151 m², 275 mm (local_thk_label), 3.892 m³
  SLAB-164: 28.157 m², 210 mm (local_thk_label), 5.913 m³
  SLAB-165: 5.514 m², 210 mm (local_thk_label), 1.158 m³
  SLAB-166: 30.467 m², 210 mm (local_thk_label), 6.398 m³
  SLAB-167: 1.429 m², 210 mm (local_thk_label), 0.300 m³
  SLAB-168: 32.563 m², 275 mm (local_thk_label), 8.955 m³
  SLAB-169: 18.440 m², 275 mm (local_thk_label), 5.071 m³
  SLAB-170: 18.999 m², 210 mm (local_thk_label), 3.990 m³
  SLAB-171: 29.412 m², 210 mm (local_thk_label), 6.177 m³
  SLAB-172: 2.085 m², 210 mm (local_thk_label), 0.438 m³
  SLAB-173: 31.680 m², 210 mm (local_thk_label), 6.653 m³
  SLAB-174: 65.778 m², 275 mm (local_thk_label), 18.089 m³
  SLAB-175: 65.022 m², 150 mm (local_thk_label), 9.753 m³
  SLAB-176: 59.300 m², 150 mm (local_thk_label), 8.895 m³
  SLAB-177: 28.166 m², 150 mm (local_thk_label), 4.225 m³
  SLAB-178: 30.321 m², 150 mm (local_thk_label), 4.548 m³
  SLAB-179: 17.517 m², 150 mm (local_thk_label), 2.628 m³
  SLAB-180: 16.352 m², 150 mm (local_thk_label), 2.453 m³
  SLAB-181: 21.067 m², 150 mm (local_thk_label), 3.160 m³
  SLAB-182: 20.714 m², 150 mm (local_thk_label), 3.107 m³
  SLAB-183: 26.239 m², 150 mm (local_thk_label), 3.936 m³
  SLAB-184: 22.790 m², 150 mm (local_thk_label), 3.418 m³
  SLAB-185: 18.488 m², 150 mm (local_thk_label), 2.773 m³
  SLAB-186: 32.294 m², 150 mm (local_thk_label), 4.844 m³
  SLAB-187: 48.723 m², 150 mm (local_thk_label), 7.309 m³
  SLAB-188: 71.700 m², 150 mm (local_thk_label), 10.755 m³
  SLAB-189: 73.496 m², 150 mm (local_thk_label), 11.024 m³
  SLAB-190: 58.312 m², 150 mm (local_thk_label), 8.747 m³
  SLAB-191: 1.244 m², 150 mm (local_thk_label), 0.187 m³
  SLAB-192: 23.123 m², 150 mm (local_thk_label), 3.468 m³
  SLAB-193: 61.466 m², 200 mm (local_thk_label), 12.293 m³
  SLAB-194: 36.040 m², 200 mm (local_thk_label), 7.208 m³
  SLAB-195: 50.697 m², 200 mm (local_thk_label), 10.139 m³
  SLAB-196: 6.851 m², 150 mm (local_thk_label), 1.028 m³
  SLAB-197: 1.481 m², 150 mm (local_thk_label), 0.222 m³
  SLAB-198: 31.293 m², 150 mm (local_thk_label), 4.694 m³
  SLAB-199: 32.963 m², 150 mm (local_thk_label), 4.944 m³
  SLAB-200: 13.844 m², 200 mm (default_note), 2.769 m³
  SLAB-201: 1.465 m², 200 mm (default_note), 0.293 m³
  SLAB-202: 1.283 m², 200 mm (default_note), 0.257 m³
  SLAB-203: 0.468 m², 200 mm (default_note), 0.094 m³
  SLAB-204: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-205: 1.238 m², 200 mm (default_note), 0.248 m³
  SLAB-206: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-207: 0.837 m², 200 mm (default_note), 0.167 m³
  SLAB-208: 1.456 m², 200 mm (default_note), 0.291 m³
  SLAB-209: 0.578 m², 200 mm (default_note), 0.116 m³
  SLAB-210: 0.578 m², 200 mm (default_note), 0.116 m³
  SLAB-211: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-212: 0.607 m², 200 mm (200 THK), 0.121 m³
  SLAB-213: 0.623 m², 200 mm (200 THK), 0.125 m³
  SLAB-214: 0.626 m², 200 mm (200 THK), 0.125 m³
  SLAB-215: 27.742 m², 200 mm (default_note), 5.548 m³
  SLAB-216: 13.443 m², 200 mm (default_note), 2.689 m³
  SLAB-217: 0.419 m², 200 mm (default_note), 0.084 m³
  SLAB-218: 1.504 m², 200 mm (default_note), 0.301 m³
  SLAB-219: 1.283 m², 200 mm (default_note), 0.257 m³
  SLAB-220: 0.646 m², 200 mm (default_note), 0.129 m³
  SLAB-221: 0.509 m², 200 mm (default_note), 0.102 m³
  SLAB-222: 0.468 m², 200 mm (default_note), 0.094 m³
  SLAB-223: 0.543 m², 200 mm (default_note), 0.109 m³
  SLAB-224: 1.045 m², 200 mm (default_note), 0.209 m³
  SLAB-225: 0.669 m², 200 mm (default_note), 0.134 m³
  SLAB-226: 0.837 m², 200 mm (default_note), 0.167 m³
  SLAB-227: 1.197 m², 200 mm (default_note), 0.239 m³
  SLAB-228: 0.515 m², 200 mm (default_note), 0.103 m³
  SLAB-229: 0.554 m², 200 mm (default_note), 0.111 m³
  SLAB-230: 0.532 m², 200 mm (default_note), 0.106 m³
  SLAB-231: 0.560 m², 200 mm (200 THK), 0.112 m³
  SLAB-232: 0.535 m², 200 mm (200 THK), 0.107 m³
  SLAB-233: 0.509 m², 200 mm (default_note), 0.102 m³
  SLAB-234: 0.701 m², 200 mm (200 THK), 0.140 m³
  SLAB-235: 0.626 m², 200 mm (200 THK), 0.125 m³
  SLAB-236: 57.076 m², 200 mm (default_note), 11.415 m³
  SLAB-237: 0.419 m², 200 mm (200 THK), 0.084 m³
  SLAB-238: 0.419 m², 200 mm (200 THK), 0.084 m³
  SLAB-239: 1.431 m², 200 mm (default_note), 0.286 m³
  SLAB-240: 1.283 m², 200 mm (default_note), 0.257 m³
  SLAB-241: 0.571 m², 200 mm (default_note), 0.114 m³
  SLAB-242: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-243: 0.473 m², 200 mm (default_note), 0.095 m³
  SLAB-244: 0.462 m², 200 mm (default_note), 0.092 m³
  SLAB-245: 0.657 m², 200 mm (default_note), 0.131 m³
  SLAB-246: 0.583 m², 200 mm (default_note), 0.117 m³
  SLAB-247: 0.607 m², 200 mm (default_note), 0.121 m³
  SLAB-248: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-249: 0.837 m², 200 mm (default_note), 0.167 m³
  SLAB-250: 1.429 m², 200 mm (default_note), 0.286 m³
  SLAB-251: 0.510 m², 200 mm (default_note), 0.102 m³
  SLAB-252: 0.510 m², 200 mm (default_note), 0.102 m³
